Company,Location,Salary
هولدینگ پارس پندار نهاد | Pars Pendar Nahad,اصفهان، اصفهان,16000000
نیک داده پرداز | NDP,تهران، تهران,35000000
رهروان دانایی چیستا  | Chista,تهران، تهران,15000000
اکوشار | Ecoshaar,اصفهان، اصفهان,12000000
آروین ویرا | Arvinvira,خراسان رضوی، مشهد,15000000
آرین  | Arian,تهران، تهران,10000000
تحلیلگران هزاره نو | Tahlilgaran,تهران، تهران,10000000
راهکارهای نرم افزاری پارسان | Parsan Software Solutions,تهران، تهران,15000000
عصر فناوری دانش | KTE,تهران، تهران,8000000
آبزیان مرجان نور | Abziyan MARJAN Nour,تهران، تهران,30000000
اسمارتیزا | Smartiza,تهران، تهران,12000000
آبزیان مرجان نور | Abziyan MARJAN Nour,تهران، تهران,30000000
ماندگار درمان ایرانیان | sahda,تهران، تهران,20000000
موسسه خدمات مدیریت و فناوری رشد قلم‌چی | GMTII,تهران، تهران,15000000
توسعه صنعت اهدا | EHDA Group,تهران، تهران,30000000
آلفا | Alfa.Co,البرز، کرج,30000000
پوشاک ایرانیان | Iranianclothing,تهران، شهر قدس,8000000
داده پردازی خوارزمی | DP Kharazmi,تهران، تهران,15000000
داده پردازی خوارزمی | DP Kharazmi,تهران، تهران,15000000
نیک تصویر پارتاک | Nik Tasvir Partak,اصفهان، اصفهان,10000000
وردست | Vardast,تهران، تهران,18000000
اندیشه نوین رایورز | Andisheh Novin Rayvarz,خراسان رضوی، مشهد,9000000
آکادمی پارسیماژ | Parsimaj Academy,تهران، تهران,12000000
کافی نت صبانت | Sabanet Coffenet,تهران، تهران,8000000
خدمات پشتیبانی نیرو | Poshtibani Niroo,خراسان رضوی، مشهد,13000000
پارلی استودیو | Parli Studio,اصفهان، اصفهان,7000000
خدمات انفورماتیک نوین کیش | Novin-Kish Informatics Services Corporation,تهران، تهران,15000000
خدمات انفورماتیک نوین کیش | Novin-Kish Informatics Services Corporation,تهران، تهران,15000000
خدمات پشتیبانی نیرو | Poshtibani Niroo,تهران، تهران,13000000
آریا فناوران سیستم ماد | AFAM,تهران، تهران,15000000
پارس تکنولوژی سداد | Pars Technology Sadad,تهران، تهران,11000000
داده آوران بهین طرح | Dadeh Avaran,تهران، تهران,20000000
تکزوم | Texoom,تهران، تهران,12000000
اپلای لینک | ApplyLink,تهران، تهران,30000000
گلنار نیکان دندان | Golnar Nikan Dandan,تهران، تهران,8000000
دانش پرداز پیشرو | Danesh Pardaz Pishro,تهران، تهران,18000000
سفیر مهد دانش | Safire Mahde Danesh,تهران، تهران,12000000
رهروان دانایی چیستا  | Chista,تهران، تهران,20000000
فناوری اطلاعات دریا سیستم | Darya System IT,البرز، کرج,9000000
هلدینگ توان | ta1group,تهران، تهران,24000000
فناوری اطلاعات دریا سیستم | Darya System IT,البرز، کرج,12000000
توسعه دهندگان شهاب زرین | Shahab Zarrin Developers,تهران، تهران,18000000
خط قرمز | Redline,تهران، تهران,12000000
جرس | Jarras,تهران، تهران,15000000
تامین ارتباطات رویکرد آینده | Tamin Ertebatat Ruykard Ayandeh,تهران، تهران,15000000
تامین ارتباطات رویکرد آینده | Tamin Ertebatat Ruykard Ayandeh,تهران، تهران,16000000
تامین ارتباطات رویکرد آینده | Tamin Ertebatat Ruykard Ayandeh,تهران، تهران,16000000
نرم افزاری جادوی فکر | Jadooye Fekr,مازندران، ساری,12000000
سها اسمارت | Soha Smart,البرز، کرج,8000000
پویان افزار فناور | Poyan Afzar Fanavar,تهران، تهران,15000000
سپید حساب ویرا | Sepid Account Vira,تهران، تهران,10000000
باکسیت | Boxit,تهران، تهران,30000000
نیکساوب | Niksaweb,گیلان، رشت,12000000
زی زاد | ZeeZaaD,تهران، تهران,30000000
زی زاد | ZeeZaaD,تهران، تهران,30000000
مشاوران سیستم | Moshaveran System,البرز، کرج,20000000
مشاوران سیستم | Moshaveran System,البرز، کرج,24000000
مشاوران سیستم | Moshaveran System,البرز، کرج,24000000
آتی رویکرد افکار | Ati Roykard Afkar,تهران، تهران,9000000
استادکار | Ostadkar,تهران، تهران,10000000
آتی رویکرد افکار | Ati Roykard Afkar,تهران، تهران,10000000
ساکسون دریلینگ | Saxon Drilling Trading Co,البرز، کرج,18000000
سرو نقره ای | Sarve Noghreyi,تهران، تهران,26000000
مک می | MacMe,تهران، تهران,15000000
بازارخودرو | Bazarkhodro,تهران، تهران,12000000
موسسه آرمان پرشین خاورمیانه | Arman Persian Middle-East,تهران، تهران,30000000
پیشرو صنعت نفت آسیا (آیرومارت)  | Pishro Sanaat,تهران، تهران,7000000
دبستانی ها دنیای مجازی بچه ها | Dabestaniha Donya ye Majazi Bache ha,قم، قم,18000000
موسسه آرمان پرشین خاورمیانه | Arman Persian Middle-East,تهران، تهران,30000000
آسیا سرمایه هوشیار | Asia Sarmayeh Hoshyar,تهران، چهاردانگه,15000000
بورس اورجینال | Bourse Original,تهران، تهران,24000000
فرادیس | Faradis,تهران، تهران,16000000
رسامیهن | Rasamihan,تهران، تهران,35000000
سامیکس | Samix,تهران، تهران,15000000
توسعه دهندگان شهاب زرین | Shahab Zarrin Developers,تهران، تهران,18000000
تجارت الکترونیک اول | Tejarat Electronic Aval,تهران، تهران,14000000
فروتل | Frotel,خراسان رضوی، مشهد,15000000
ایرانیان ماناتاز | Iranian Manataz,اصفهان، اصفهان,12000000
رابط وب | Rabetweb,البرز، کرج,7000000
چارسوکپی | Charsoocopy,تهران، تهران,6000000
فناوری اطلاعات ناواکو | Navaco,تهران، تهران,22000000
سامیکس | Samix,تهران، تهران,15000000
الو دارو | Alo darou,تهران، تهران,20000000
فراز اس ام اس  | Faraz Sms,تهران، تهران,11000000
نرم افزاری داتیس آرین قشم | Dotin,خراسان رضوی، مشهد,18000000
توسعه ارتباطات دیجیتال سپهر | Sepehr Digital Communications Development,تهران، تهران,12000000
توسعه کسب و کار لیدوما | Lidoma Business Development,البرز، کرج,10000000
رایکانت | Raykanet,یزد، یزد,12000000
منیر | MONiR,لرستان، خرم آباد,8000000
داده پژوه آریا | Dade Pajoohe Aria,اصفهان، اصفهان,15000000
فنی مهندسی آینده‌سازان پردازش امن (آسپا) | ASPA Engineering Co,اصفهان، اصفهان,8000000
ویزا آتلانتیس | Visa Atlantis,تهران، تهران,12000000
ای جی | AG Karafarini,تهران، تهران,8000000
پانا وب | PanaWeb,اصفهان، اصفهان,8000000
دوندوک استودیو | DoonDookStudio,همدان، همدان,7000000
تکزوم | Texoom,تهران، تهران,12000000
بارآن | BarOn,قم، قم,9000000
آلفا | Alfa.Co,البرز، کرج,50000000
آلفا | Alfa.Co,البرز، کرج,50000000
نوساز محاسب صفاهان | Nosazmohaseb,تهران، تهران,14000000
نیکان اکسیر ویستا رایان | Nikan Exir Vista Rayan,فارس، شیراز,10000000
تجارت الکترونیک امن موج  | Amn Moj,تهران، تهران,10000000
نرم افزاری داتیس آرین قشم | Dotin,تهران، تهران,18000000
مزمز | MazMaz,تهران، تهران,26000000
فلیکسین | Felixin,تهران، تهران,18000000
میوتو (ویژن سرویس) | Vision Service,تهران، تهران,30000000
رسانه تجارت نوین | Novin,تهران، تهران,20000000
بامداد رویان کیان | Bamdad Royan Kian,تهران، تهران,50000000
فناوری اطلاعات پارس کنترل | Pars Control,تهران، تهران,16000000
فناوری دراپ | Dropp Technologies,تهران، تهران,24000000
سیبچه | Sibche,تهران، تهران,26000000
تلنت اسکواد | TalentSquad,تهران، تهران,50000000
تلنت اسکواد | TalentSquad,تهران، تهران,50000000
ایران در واقعیت مجازی | iraninvr,تهران، تهران,15000000
داده گستران علم آوا | Dgea,تهران، تهران,12000000
فناوری اطلاعات پارس کنترل | Pars Control,تهران، تهران,20000000
فناوری اطلاعات پارس کنترل | Pars Control,تهران، تهران,20000000
داده پردازی آرین سیستم | ArianSystem Co,تهران، رودهن,7000000
کارنتک پارسیان | Karentech Parsian,تهران، تهران,16000000
سامانه راهکار دلفین اسپادانا | Samaneh Rahkare Dolphin Espadana,اصفهان، اصفهان,35000000
پت اینفو | Petinfo,تهران، تهران,28000000
آدرینا ارتباطات سام داد | Adrina Ertebatat Samdad,مازندران، آمل,10000000
رسانه بیان | Bayan,تهران، تهران,7000000
دیزایر | Desire,تهران، تهران,22000000
سیمپل اچ آر | Simple HR,تهران، تهران,40000000
تیموتی | Tiomoty,تهران، تهران,12000000
پولینا | Poolina,اصفهان، نجف آباد,20000000
میوتو (ویژن سرویس) | Vision Service,تهران، تهران,30000000
سپانو داده پارس | Pars Sepano Data,تهران، تهران,15000000
شبکه مجازی ارابا | Arraba,تهران، تهران,5000000
اصفهان وبسایت مرکز طراحی سایت | Isfahanwebsite,اصفهان، اصفهان,10000000
گرافی | Graphay,تهران، تهران,20000000
کاریان مشهد | Kariyan Mashhad,تهران، تهران,20000000
پنکو | Panco,تهران، تهران,50000000
گروه آریاس روژان | Ariyas Rojan,تهران، تهران,20000000
سیبچه | Sibche,تهران، تهران,24000000
سگال سیستم | Segal System,تهران، تهران,20000000
ارنست   | Earnest,تهران، تهران,18000000
مجتمع بین المللی گسترش فناوری اطلاعات تهران تندیس | Intel,تهران، تهران,35000000
ایندیفای | InDefi,تهران، تهران,30000000
آژانس تبلیغاتی نماآگهی | Namaagahi Agency,تهران، تهران,9000000
درنا سیستم | Dorna System,تهران، تهران,50000000
اصطهباناتی | Estahbanaty,تهران، تهران,15000000
تاپس | Tops,تهران، تهران,12000000
فرصت تفکر سازنده | Forsat,تهران، تهران,20000000
مشاوره مهندسی نداک | Nodak Consulting Company,تهران، تهران,30000000
ارنست   | Earnest,تهران، تهران,18000000
ارزینجا | Arzinja,تهران، تهران,40000000
دات لاین | Dot Line,تهران، تهران,18000000
دیناوین | Dinawin,تهران، تهران,26000000
مدیانا | Mediana,تهران، تهران,20000000
رایناگ | Raynaag,تهران، تهران,35000000
داده گستران علم آوا | Dgea,تهران، تهران,10000000
خدمات ارتباطی رایتل | RighTel,تهران، تهران,12000000
ایده گستران ثمین پارس | Idea Commercialization Center,فارس، شیراز,12000000
بازار طلا | BazareTala,تهران، تهران,30000000
سیبچه | Sibche,تهران، تهران,26000000
نرم افزاری داتیس آرین قشم | Dotin,تهران، تهران,15000000
استودیو تبلیغاتی انعکاس | Enekas Advertising Studio,تهران، تهران,8000000
استودیو تبلیغاتی انعکاس | Enekas Advertising Studio,تهران، تهران,10000000
سکو | Sacoo,تهران، تهران,20000000
کاشانت | Kashanet,تهران، تهران,14000000
گروه بازرگانی و مهندسی سمیع پور و شرکا | Samiepour & Partners Group,تهران، تهران,13000000
موسسه تحقیقاتی ابن سینا | Ebn e Sina Research,تهران، تهران,40000000
به پرداخت ملت | Behpardakht,تهران، تهران,20000000
ایران در واقعیت مجازی | iraninvr,تهران، تهران,20000000
ایران در واقعیت مجازی | iraninvr,تهران، تهران,20000000
ابتکار سامانه آرمان | Ebtekar Samaneh Arman,تهران، تهران,24000000
اورانیان | Euranian,تهران، تهران,50000000
یوآیدی | UID,تهران، تهران,40000000
هزارگذر | Thousandways,تهران، تهران,14000000
بیت آسیا | Bitasia,تهران، تهران,18000000
بهپرداز جهان | Behpardaz Jahan,تهران، تهران,8000000
نومی | nomi,تهران، تهران,10000000
پلاک من | Pelak Man,تهران، تهران,16000000
بهسازان مجازی | Behsazan Majazi,مازندران، آمل,10000000
گیکس | Geeks Ltd,تهران، تهران,24000000
عامر اندیش هوشمند | Amerandish Hoshmand,تهران، تهران,9000000
وب آریو | Web Ario,تهران، تهران,50000000
وب آریو | Web Ario,تهران، تهران,40000000
گروه توسعه بوتان | Butane Industrial Group,تهران، تهران,10000000
گروه صنایع غذایی شیرین عسل | Shirinasal Food Industrial Group,تهران، تهران,15000000
سیب ترش | Sib Torsh,تهران، تهران,15000000
دیجی شهر | DG Shahr,تهران، تهران,35000000
گروه وبجار | Webjar,تهران، تهران,20000000
گروه وبجار | Webjar,تهران، تهران,20000000
گروه بارنا | Barena Group,تهران، تهران,10000000
ابتکار پردازش کیان | Kian,تهران، تهران,20000000
یکتا رز سرخ | Red Rose Group,خراسان رضوی، مشهد,10000000
رابین | Robin,اصفهان، اصفهان,15000000
هوشمند رایانش روند گستر | Smart Computing,تهران، تهران,35000000
راوی ایندکس | Ravindex,تهران، تهران,20000000
هلدینگ شکوه جاوید ایرانیان | SJI Company,خراسان رضوی، مشهد,18000000
مهیمن | Mohaymen,تهران، تهران,20000000
مینی کالا | Minikala,تهران، تهران,40000000
شرکت نرم افزاری پرایم 724 | Prime 724 Software,تهران، تهران,15000000
بهاران گستر امید | Baharan,تهران، تهران,15000000
میوتو (ویژن سرویس) | Vision Service,تهران، تهران,16000000
تکران | Techran,تهران، تهران,30000000
پویا تک | Poya Tech,تهران، تهران,10000000
دات لاین | Dot Line,تهران، تهران,18000000
ورسا | Varsa Agency,تهران، تهران,12000000
سکان آکادمی | Sokan Academy,تهران، تهران,16000000
فراخط | Fra Khat,تهران، تهران,12000000
فراخط | Fra Khat,تهران، تهران,10000000
دواپس‌یار | DevopsYar,تهران، تهران,15000000
گروه مهندسی آی کن | ICAN,تهران، تهران,16000000
تکران | Techran,تهران، تهران,35000000
پارسیان الکترونیک سیروان | Parsian Electronic Sirvan,تهران، تهران,15000000
سبز لرن | Sabzlearn,تهران، تهران,14000000
هوش تجاری بیکو  | BICO Business Intelligence,تهران، تهران,24000000
نرم افزاری داتیس آرین قشم | Dotin,تهران، تهران,18000000
سکان آکادمی | Sokan Academy,تهران، تهران,15000000
سکان آکادمی | Sokan Academy,تهران، تهران,20000000
آی‌تی‌هوم | Ithome,تهران، تهران,14000000
گروه صنعتی انتخاب الکترونیک | Entekhab Electronic Industrial Group,اصفهان، اصفهان,15000000
کارن آوران سعادت آتیه | Karen Avaran Saadat Atye,تهران، تهران,20000000
نرم افزار حسابداری معین | Moeinsoft Moein,خراسان رضوی، مشهد,7000000
تیموتی | Tiomoty,تهران، تهران,15000000
ایده پردازان دانیار | Duniar,تهران، تهران,30000000
پایا | Paya,تهران، تهران,18000000
تیموتی | Tiomoty,تهران، تهران,12000000
بنتوک سامانه | Bent Oak Systems,تهران، تهران,35000000
پایا | Paya,تهران، تهران,30000000
نوبی تلنت | Nobbytalent,تهران، تهران,50000000
پایا | Paya,تهران، تهران,20000000
نرم افزاری داتیس آرین قشم | Dotin,تهران، تهران,15000000
میوتو (ویژن سرویس) | Vision Service,تهران، تهران,16000000
روم ویو | RoomVu,تهران، تهران,50000000
نرم افزاری گردشگری سان | SAN Tourism Software Group,تهران، تهران,50000000
بنتوک سامانه | Bent Oak Systems,تهران، تهران,50000000
موسسه طراحی و برنامه نویسی زیلا | Zilla,تهران، تهران,12000000
رویا نگار لیان | Roya Negar,تهران، تهران,30000000
توسعه ارتباطات رایان فرزام | Farzam Coopration,تهران، تهران,6000000
ایران تخصص | Ikrantakihasos,تهران، تهران,18000000
توسعه ارتباطات رایان فرزام | Farzam Coopration,تهران، تهران,6500000
پویان افزار فناور | Poyan Afzar Fanavar,تهران، تهران,15000000
آيريا | Ayria,تهران، تهران,50000000
تکران | Techran,تهران، تهران,50000000
تسمینو | Tesmino,گیلان، رشت,12000000
میوتو (ویژن سرویس) | Vision Service,تهران، تهران,28000000
ونوس کو | Venus_Co,تهران، تهران,45000000
خدمات پرداخت ری | Rey Payment Solutions,تهران، تهران,30000000
روم ویو | RoomVu,تهران، تهران,50000000
نرم افزاری داتیس آرین قشم | Dotin,تهران، تهران,15000000
ونوس کو | Venus_Co,تهران، تهران,35000000
ونوس کو | Venus_Co,تهران، تهران,30000000
ونوس کو | Venus_Co,تهران، تهران,30000000
داده کاوان پیشرو  | Data Mining Leaders,تهران، تهران,40000000
پردازش و ذخیره سازی سریع داده  | HPDS (High Performance Data Storage System),تهران، تهران,20000000
متانکست | Metanext,خراسان رضوی، مشهد,30000000
تلنت اسکواد | TalentSquad,تهران، تهران,50000000
خدمات تجارت سرمد | Sarmad Business Services,تهران، تهران,13000000
بهپرداز همراه سامانه اول (بهسا) | Behsa,تهران، تهران,15000000
تلنت اسکواد | TalentSquad,تهران، تهران,50000000
کاریان مشهد | Kariyan Mashhad,تهران، تهران,24000000
استودیو گروسیان | Garousian Studio,تهران، تهران,20000000
صنایع انفورماتیک سدید | Sadid,تهران، تهران,30000000
متیران | Matiran,تهران، تهران,20000000
متیران | Matiran,تهران، تهران,20000000
نوبی تلنت | Nobbytalent,تهران، تهران,50000000
متیران | Matiran,تهران، تهران,20000000
چهارنسل | 4WG,تهران، تهران,20000000
متیران | Matiran,تهران، تهران,20000000
صراف | Saraf,تهران، تهران,15000000
سوخت جت | SookhteJet,تهران، تهران,15000000
شاواز | Shavaz,تهران، تهران,40000000
شاواز | Shavaz,تهران، تهران,20000000
فناوران اطلاعات بومرنگ | Boomerang IT Co,تهران، تهران,28000000
نیک | Nik,تهران، تهران,7000000
پرداخت الکترونیک سداد | Sadad PSP,تهران، تهران,26000000
پژوهان سپند | Pajoohan Sepand,تهران، تهران,15000000
فلیکسین | Felixin,تهران، تهران,28000000
اکس ماژول | Exmodule,تهران، تهران,24000000
مجموعه سرویس های چاپار  | Chaapaar,تهران، تهران,24000000
مجموعه سرویس های چاپار  | Chaapaar,تهران، تهران,26000000
خانه توسعه فناوری اطلاعات | It House,تهران، تهران,15000000
هولدینگ پارس پندار نهاد | Pars Pendar Nahad,تهران، تهران,12000000
فلیکسین | Felixin,تهران، تهران,15000000
موسسه آرمان پرشین خاورمیانه | Arman Persian Middle-East,تهران، تهران,18000000
گروه خلاق درخشش | Sunshine Creative Team,کرمان، کرمان,16000000
لیمومی | Limoome,تهران، تهران,18000000
هانسو | Hanso,تهران، تهران,11000000
جوانفکران داده گستر | Javanfekran Dadeh Gostar,تهران، تهران,10000000
اکس ماژول | Exmodule,خراسان رضوی، مشهد,13000000
وال ایت | Wallit s.r.o,تهران، تهران,50000000
وال ایت | Wallit s.r.o,تهران، تهران,50000000
گروه مالی الفت | Ulfat Finance,تهران، تهران,18000000
آسمان | Aseman,خراسان رضوی، مشهد,8000000
دنیای کشاورزی هوشمند | Donate Novin,تهران، تهران,10000000
سامانه راهکار دلفین اسپادانا | Samaneh Rahkare Dolphin Espadana,اصفهان، اصفهان,20000000
راوی ایندکس | Ravindex,تهران، تهران,20000000
اسمارتیزا | Smartiza,تهران، تهران,10000000
اسمارتیزا | Smartiza,تهران، تهران,7000000
اسمارتیزا | Smartiza,تهران، تهران,12000000
اسمارتیزا | Smartiza,تهران، تهران,10000000
اسمارتیزا | Smartiza,تهران، تهران,10000000
اسمارتیزا | Smartiza,تهران، تهران,12000000
بلوبیم | Bluebeam,تهران، تهران,18000000
آژانس دیجیتال مارکتینگ هونرما | Hunerma,فارس، شیراز,10000000
بتو | Betou,فارس، شیراز,9000000
نرم افزاری داتیس آرین قشم | Dotin,تهران، تهران,12000000
تیم خوب | Team Khoob,تهران، تهران,12000000
همراهان فردایی روشن | Hamrahan Fardaei rooshan,تهران، تهران,30000000
اکس ماژول | Exmodule,خراسان رضوی، مشهد,15000000
تارینوتک | tarinotech,تهران، تهران,8000000
گلستان | Golestan,تهران، تهران,20000000
پیشرو فناور هوشمند گیتی | Pishro Group,تهران، تهران,24000000
داده پردازی خوارزمی | DP Kharazmi,تهران، تهران,15000000
گسترش طراحان نقش الماس | Inoti,تهران، تهران,10000000
امیدان سیستم کارآفرین | Suprisein,تهران، تهران,22000000
فناوری‌های علوم داده حسابا | Hesaba,تهران، تهران,30000000
ایران در واقعیت مجازی | iraninvr,تهران، تهران,20000000
ایران در واقعیت مجازی | iraninvr,تهران، تهران,20000000
گروه توسعه سرمایه گذاری آمارانت | Amarant,تهران، تهران,12000000
شبکه ویدئوکنفرانس ایران (شوکا) | Shooka,تهران، تهران,16000000
اینترنتی ساتیا | Satia,مرکزی، اراک,10000000
استودیو راک‌آپ | RockUp Studio,تهران، تهران,15000000
سپهرفناور | Sepehr Fanavar,اصفهان، اصفهان,30000000
ندا رسانان پیشرو | NRP,تهران، تهران,26000000
بیمانی | Bimany,تهران، تهران,18000000
هایتاکی  | HiTalki,تهران، تهران,10000000
نادری تراول | Naderi Travel,تهران، تهران,40000000
فروشگاه فرهنگی و مذهبی آل طاها  | Alletaha,خراسان رضوی، مشهد,7000000
بنیاد بین المللی مطالعات چین | International Foundation for China Studies,تهران، تهران,10000000
مهیمن | Mohaymen,تهران، تهران,26000000
دیفای نوین | DeFi Novin,تهران، تهران,20000000
نقش اول کیفیت | Naghsh Aval Keyfiat,تهران، تهران,16000000
دکتر لینک | Dr Link,تهران، تهران,20000000
مهیمن | Mohaymen,تهران، تهران,15000000
ایرانیان گستر | Iraniangostar,تهران، تهران,9000000
گلستان | Golestan,تهران، تهران,24000000
لیاتیم  | lia Team,تهران، تهران,10000000
لیاتیم  | lia Team,تهران، تهران,10000000
رهیافت داده پردازی آرکا | Arka DML,تهران، تهران,14000000
گیکس | Geeks Ltd,تهران، تهران,26000000
سفیر سیر رضا | Safir Seir Reza,تهران، تهران,24000000
الستیک تیمز | Elasticteams,تهران، تهران,24000000
دانش حسیب | Danesh Hasib Co,تهران، تهران,30000000
پرداخت الکترونیک سامان کیش(سپ)  | Saman Electronic Payment,تهران، تهران,26000000
نوآوران داد و ستد هستی | Hastibazaar,تهران، تهران,18000000
آینده‌سازان | Ayandehsazan,تهران، تهران,11000000
ویش ورک | Wish Work,تهران، تهران,16000000
ایران تخصص | Ikrantakihasos,تهران، تهران,18000000
اسنپ فود | Snappfood,تهران، تهران,50000000
صدگان سامانه هوشمند | Sadgan Samaneh Hooshmand,خراسان رضوی، مشهد,35000000
آرینا پل | Arina Pol,اصفهان، اصفهان,10000000
هلدینگ توان | ta1group,تهران، تهران,20000000
آذرین نوآوران | NKIT,تهران، تهران,35000000
موسسه مهرآفرینان امید زندگی (همکده) | Hamkadeh,تهران، تهران,15000000
دهکده دیجیتال مارکتینگ دلوان | Delvan,تهران، تهران,7000000
آتی رویکرد افکار | Ati Roykard Afkar,تهران، تهران,8000000
روم ویو | RoomVu,تهران، تهران,50000000
رویا نگار لیان | Roya Negar,تهران، تهران,50000000
نادری تراول | Naderi Travel,تهران، تهران,30000000
ابزارسرا | ABZARSARA,تهران، تهران,15000000
دکتر کلابز | Dr Clubs,گیلان، رشت,7000000
بهاران گستر امید | Baharan,تهران، تهران,20000000
باکسیت | Boxit,تهران، تهران,20000000
بهينه داده پردازان رايمون | Raymon,تهران، تهران,15000000
مشهدهاست | Mashhad Host,خراسان رضوی، مشهد,20000000
ونوس شیشه | Venus Glass,تهران، تهران,15000000
لیاتیم  | lia Team,تهران، تهران,11000000
پیشرو فناور هوشمند گیتی | Pishro Group,تهران، تهران,18000000
گروه نرم افزاری تارا | Tara Software Group,تهران، تهران,15000000
دِویش | Devish,تهران، تهران,35000000
دیجیتال مارکتینگ جاویدان | digital marketing Javidan,اصفهان، اصفهان,7000000
دِویش | Devish,تهران، تهران,50000000
دِویش | Devish,تهران، تهران,50000000
گلدیس | Goldis,تهران، تهران,40000000
اینتکس  | Intex,خراسان رضوی، مشهد,20000000
ارزینجا | Arzinja,تهران، تهران,50000000
نیک مدرن | Nik Modern,تهران، تهران,50000000
آکادمی کسری خطیبی | Kasra Khatibi Academy,تهران، تهران,20000000
نیک آموز | Nik Amooz,تهران، تهران,18000000
مهندسی کنترل هوشمند ناموران | Namvaran Intelligent Control Engineering,تهران، تهران,30000000
همراهان فردایی روشن | Hamrahan Fardaei rooshan,تهران، تهران,18000000
سورباس بیوتی | Sorbusbeauty,تهران، تهران,8000000
فناوری سایپا ارتباط | Fanavari Saipa Ertebat,تهران، تهران,18000000
همراه داده پرداز داوین | Hamrah Dadeh Pardaz Davin,البرز، کرج,14000000
همراه کارآفرینان رایمون | Raymon Entrepreneurs Compeer,تهران، تهران,9000000
الستیک تیمز | Elasticteams,تهران، تهران,30000000
پاپریکا | Paprika,تهران، تهران,16000000
هولدینگ ای ال ان | ALN,خراسان رضوی، مشهد,15000000
تجارت همراه روناش | Ronash,تهران، تهران,30000000
کاوه مکاترونیک آریا (کاما) | Kama,تهران، تهران,20000000
ایزی وب | Ezweb,تهران، تهران,14000000
آرتین‌ بنای باریستان | Baristan,تهران، تهران,12000000
ابرادین | Abroadin,تهران، تهران,16000000
اَوستا | Avesta,تهران، تهران,40000000
بلاگر کیوب | Blogger Cube,تهران، تهران,15000000
نوبی تلنت | Nobbytalent,تهران، تهران,50000000
فروتل | Frotel,خراسان رضوی، مشهد,15000000
هوش تجاری اساطیر | Asatir BI,تهران، تهران,7000000
نانو پردازان | Nano Pardazan,تهران، تهران,15000000
رزسفید | Rozesefid,قم، قم,7000000
نخ تاپ | Nakh Top,تهران، تهران,15000000
مجموعه سرویس های چاپار  | Chaapaar,تهران، تهران,24000000
توسعه کسب و کار لیدوما | Lidoma Business Development,البرز، کرج,10000000
نبکا | Nobka,تهران، تهران,26000000
شبکه فناوری مجازی بین المللی تدبیر کریمان کویر | Technological Virtual Collaboration (tecvico),تهران، تهران,10000000
منیر | MONiR,لرستان، خرم آباد,8000000
توسعه فناوری اطلاعات آگین | FanAgin,تهران، تهران,7000000
لیاتیم  | lia Team,تهران، تهران,10000000
دانش پرداز پیشرو | Danesh Pardaz Pishro,تهران، تهران,13000000
دواپس‌یار | DevopsYar,تهران، تهران,8000000
وب سایت فهرست | Fehrest,تهران، تهران,20000000
آيريا | Ayria,تهران، تهران,30000000
آيريا | Ayria,تهران، تهران,30000000
رابط وب | Rabetweb,البرز، کرج,7000000
پاپیروس آریا | Papiroos Arya,تهران، تهران,15000000
سحاب | Sahab,قم، قم,8000000
رُکلا | Rokla,فارس، شیراز,30000000
تایتانز | Titans,تهران، تهران,12000000
هوشمندسازان ساجد | Hooshmand Sazan,تهران، تهران,30000000
موسسه تحقیقاتی میزانی | Mizani Research Institute,تهران، تهران,18000000
نرم افزاری گردشگری سان | SAN Tourism Software Group,تهران، تهران,50000000
پیکس پارس | PixPars,اصفهان، اصفهان,15000000
رایش | Rayesh,اصفهان، اصفهان,9000000
آلفا | Alfa.Co,البرز، کرج,50000000
صندوق بازنشستگی صبانفت | Saba Naft,تهران، تهران,20000000
ایران تخصص | Ikrantakihasos,تهران، تهران,20000000
ایران تخصص | Ikrantakihasos,تهران، تهران,15000000
ایران تخصص | Ikrantakihasos,تهران، تهران,18000000
ایران تخصص | Ikrantakihasos,تهران، تهران,15000000
ایران تخصص | Ikrantakihasos,تهران، تهران,15000000
ایران تخصص | Ikrantakihasos,تهران، تهران,18000000
ایران تخصص | Ikrantakihasos,تهران، تهران,18000000
ایمپرفکت | Imperfect,تهران، تهران,50000000
بی وی تا | BVITA,تهران، تهران,50000000
پیندو | Pindo,تهران، تهران,24000000
آيريا | Ayria,تهران، تهران,30000000
آلفا | Alfa.Co,البرز، کرج,50000000
گروه طراحی رضایی | Rezaei Design Corporation,فارس، شیراز,18000000
داده پرداز آفاق | Dapagroup,تهران، تهران,14000000
الستیک تیمز | Elasticteams,تهران، تهران,30000000
مکتبستان | Maktabestan,گلستان، گرگان,12000000
معتمد اول هوشمند راهبر | MaaherTsp,تهران، تهران,20000000
رامان گستر | Raman Gostar,تهران، تهران,40000000
شرکت نرم افزاری پرایم 724 | Prime 724 Software,تهران، تهران,15000000
