Company,Location,Salary
دانا پرداز  | DANA PARDAZ,تهران، تهران,20000000
تلنت اسکواد | TalentSquad,تهران، تهران,50000000
آینده سازان | Ayandeh sazan,خوزستان، اهواز,12000000
آباناشاپ | Abanashop,تهران، تهران,15000000
آرین خاک | Arian Khak,تهران، تهران,4500000
پارسی افرا گیسوان | Afra Gis,تهران، تهران,10000000
ترنج رهیافت نسل جدید | Toranj,خراسان رضوی، مشهد,12000000
داده پردازی آرین سیستم | ArianSystem Co,تهران، رودهن,8000000
کارناوال | Karnaval,تهران، تهران,14000000
تیپول | TiPoul,تهران، تهران,9000000
گروه بازرگانی و مهندسی سمیع پور و شرکا | Samiepour & Partners Group,تهران، تهران,18000000
رایا نوید سامانه (دانش بنیان) | Raya Navid Systems,تهران، تهران,15000000
هلدینگ فناوری بنتک | Bontech,تهران، تهران,20000000
رایان پژوه سلامت | Rayanpajouh Salamat,تهران، تهران,16000000
سلامت پخش هستی | Salamat Pakhsh Hasti,تهران، تهران,15000000
دِویش | Devish,تهران، تهران,35000000
دانا پرداز  | DANA PARDAZ,تهران، تهران,13000000
جی تک سافت | GTechSoft,تهران، تهران,30000000
ایران در واقعیت مجازی | iraninvr,تهران، تهران,18000000
آریا اکسچنج | Arya Exchange,تهران، تهران,50000000
لیان | Lian,یزد، یزد,12000000
تحریر پاترون | Patrone,تهران، تهران,8000000
کوهشید | Koohshid,تهران، تهران,11000000
داده پردازی پارسیان | Parsian,تهران، تهران,13000000
کارا پلیمر کاوه | Kara Polymer Kaveh,تهران، تهران,12000000
نانو طب | Nanoteb,تهران، تهران,10000000
شهباز موتور | Shahbaz Motor,اصفهان، اصفهان,9000000
وبسایتکس | Websitex,تهران، تهران,18000000
راه گزین رایانه | Rahgozin Rayaneh,تهران، تهران,35000000
آژانس دیجیتال مارکتینگ لین | lean digital marketing agency,تهران، تهران,18000000
بیمه ما (نماینده مرکزی) | Bime Ma,تهران، تهران,15000000
راهکارهای فناوری غزال دامون | Rahkarhaye Fanavari Ghazal Damon,تهران، تهران,10000000
بصیر اندیشان بینا تدبیر | Basir Andishan Bina Tadbir,تهران، تهران,7000000
یونیلند | Uniland,تهران، تهران,18000000
دایرکتم | Directam,اصفهان، اصفهان,18000000
فراد نوآور | Farad Noavar,تهران، تهران,24000000
فراد نوآور | Farad Noavar,تهران، تهران,24000000
توسعه نوآفرین الفبای پارس (سهامی خاص) | Pars Alphabet Co LTD,خراسان رضوی، مشهد,18000000
رک موبایل | Rook Mobile,تهران، تهران,8000000
موسسه زبان سفیر گفتمان | Safir English Language Academy,تهران، تهران,15000000
فناوری اطلاعات بشیر سبحان | Sobhan IT,اصفهان، اصفهان,15000000
سینا پخش ژن | Cinnapakhsh Jen,تهران، تهران,12000000
صنایع ایلیاکو | Ilyaco industries,البرز، کرج,12000000
لیان گوهران صنعت | LianGoharanSanat,یزد، یزد,7000000
رسادنت | Rasadent,تهران، تهران,12000000
گروه مهندسی آی کن | ICAN,تهران، تهران,12000000
آژانس سئودو | Seodo,تهران، تهران,15000000
گروه مهندسی آی کن | ICAN,گیلان، رشت,10000000
گروه توسعه نرم افزاری منتظر | Montazer,اصفهان، اصفهان,9000000
آی‌تی‌هوم | Ithome,تهران، تهران,12000000
سپهر گستر فرتاک پارس (وبینه) | Webine,تهران، تهران,8000000
هوشان کاوش برنا  | Hooshan Kavoosh Borna,تهران، تهران,15000000
آژانس خلاقیت وبسیما | Websima Creative Agency,تهران، تهران,10000000
چکاوک پردازش هوشمند البرز  | Chakavak Pardazesh Hooshmand Alborz,البرز، کرج,18000000
مسیر هوشمند یکپارچه نوین | SmartPath,تهران، تهران,20000000
لايك وب | Likeweb,تهران، تهران,15000000
م‌نیو | Me NEW,تهران، تهران,30000000
نسل پنج | Nasle 5,تهران، تهران,30000000
گروه وبجار | Webjar,تهران، تهران,30000000
آریا تهران | Aryatehran,تهران، تهران,20000000
ایران هاست | Iran Host,تهران، تهران,8000000
فنی مهندسی الکترواپتیک شرق | Electro-Optic Shargh Technical Company,تهران، تهران,15000000
مرکز تحقیق و توسعه شید | SheedSoft R and D,البرز، کرج,26000000
نرم افزاری داتیس آرین قشم | Dotin,تهران، تهران,26000000
گروه وبجار | Webjar,تهران، تهران,18000000
پارسیان همراه لوتوس- گروه داده پردازی پارسیان |  .PHL-PDPG Co,تهران، تهران,22000000
نرم افزاری داتیس آرین قشم | Dotin,تهران، تهران,22000000
نرم افزاری داتیس آرین قشم | Dotin,تهران، تهران,7000000
نرم افزاری داتیس آرین قشم | Dotin,تهران، تهران,10000000
انرژی یار | Energy Yar,تهران، تهران,20000000
فروشگاه سایان سنتر | Sayan Center,تهران، تهران,8000000
فناوری اطلاعات آرامین | Aramin Information Technology,اصفهان، اصفهان,10000000
اندیش سازان راهکارهای عصر نوین | Hsoft,خوزستان، اهواز,12000000
اتاق بازرگانی، صنایع، معادن  کشاورزی ایران | Iran Chamber of Commerce, Industries, Mines & Agriculture,تهران، تهران,22000000
پارسیس | Parsys,خراسان رضوی، مشهد,10000000
لجستیک هوشمند پاسارگاد | Pasargad,زنجان، زنجان,20000000
مبتکران فناوری اطلاعات ایده | Mobtakeran,تهران، تهران,18000000
گالری اشرافی | Ashraafi Gallery,تهران، تهران,10000000
محیا پرداز یزد | Mahya Pardaz,خراسان رضوی، مشهد,9000000
تنیاکو | Teniaco,تهران، تهران,20000000
پیشگامان فناوری برنا رایان تمیم | Pishgaman Fanavari Borna Rayan Tamim,فارس، شیراز,13000000
فناوری و راه حل های هوشمند سپهر | Hooshmand Sepehr,تهران، تهران,15000000
فناوری و راه حل های هوشمند سپهر | Hooshmand Sepehr,تهران، تهران,15000000
زرین فناوران | Zarin Fanavaran,فارس، شیراز,13000000
زرین فناوران | Zarin Fanavaran,فارس، شیراز,14000000
